,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,October,Year to Date (to October),Year to Date (to October),Year to Date (to October),Year to Date (to October),2020 Financial Year,2020 Financial Year,2020 Financial Year,2020 Financial Year,Whole of Life,Whole of Life,Whole of Life,Whole of Life
OPERATING.PSBI,Other Operating,6203,Mahesh Prakash,R-12875,Cropland fire behaviour research,470,"11,200","1,039","10,161",,"11,200","1,039","10,161",,"67,200","12,575","54,626",
OPERATING.PSBI,Other Operating,6203,Mahesh Prakash,R-13474,Effectiveness of fire suppression resour,268,"8,284","1,035","7,249",,"24,650","1,035","23,615",,"28,650","2,730","25,920",
OPERATING.PSBI,Other Operating,6203,Mahesh Prakash,R-13495,Modelling the  FOREMS wildfire suppressi,,"-19,839",,"-19,839",,"-25,000",,"-25,000",,"-50,000","-25,000","-25,000",
OPERATING.PSBI,Other Operating,6203,Mahesh Prakash,R-13596,Pr19-10: INSW Gen 2.0 Phase 3,85,804,443,361,,"1,000",443,557,,"1,000","428,443","-427,443",
OPERATING.PSBI,Other Operating,6203,Mahesh Prakash,R-13694,Bushfire Evacuation Modelling Phase 2,"1,130","3,361","1,890","1,470",,"10,000","1,890","8,110",,"11,000","1,890","9,110",
OPERATING.PSBI,Other Operating,6203,Mahesh Prakash,R-13850,Initiative - Natural Hazards and Infrast,,"4,705","-25,280","29,985",,"14,000","-25,280","39,280",,"14,000","-25,280","39,280",
OPERATING.PSBI,Other Operating,6203,Mahesh Prakash,R-91277,Group - Natural Systems Modelling,"4,356","26,616","8,616","18,001",,"79,200","8,616","70,584",,"79,200","8,616","70,584",
OPERATING.PSBI,Other Operating,7702,Peter Toscas,R-91112,Data-Driven Enterprises Group - Operatin,"3,270","18,148","6,911","11,236",,"54,000","6,911","47,089",,"65,620","13,301","52,319",
OPERATING.PSBI,Other Operating,8008,Gavin Walker,R-10441,Research Office Post doc Social Media (S,,"10,082",,"10,082",,"30,000",,"30,000",,"64,000","3,439","60,561",
OPERATING.PSBI,Other Operating,8008,Gavin Walker,R-11577,Digital Lease - SIEF STEM Project,,"1,597",105,"1,493",,"3,000",105,"2,896",,"10,000","6,964","3,036",
OPERATING.PSBI,Other Operating,8008,Gavin Walker,R-12271,PH FSP Medical Decision Support - DATA61,,,297,-297,,,297,-297,,,"13,282","-13,282",
OPERATING.PSBI,Other Operating,8008,Gavin Walker,R-12648,SLNSW: Multilingual NLP,47,,196,-196,,,196,-196,,"10,000","7,412","2,588",
OPERATING.PSBI,Other Operating,8008,Gavin Walker,R-12793,Research Office Post doc Social Media (S,76,,899,-899,,,899,-899,,,"2,755","-2,755",
OPERATING.PSBI,Other Operating,8008,Gavin Walker,R-12815,NDIS workforce needs,,"2,352",,"2,352",,"7,000",,"7,000",,"19,000",588,"18,412",
OPERATING.PSBI,Other Operating,8008,Gavin Walker,R-13814,Initiative: Social Insights and Market D,532,"8,738",532,"8,206",,"26,000",532,"25,468",,"26,000",532,"25,468",
OPERATING.PSBI,Other Operating,8008,Gavin Walker,R-14215,QLD Big Data Challenge: Detecting Cyberb,,"2,588",,"2,588",,"15,000",,"15,000",,"15,000",,"15,000",
OPERATING.PSBI,Other Operating,8716,Zili Zhu,R-03815,Fenics,,"7,688",,"7,688",,"21,000",,"21,000",,"43,057","19,995","23,062",
OPERATING.PSBI,Other Operating,8716,Zili Zhu,R-09886,ARC Linkage with Monash and Challenger B,,,,,,,,,,,"50,000","-50,000",
OPERATING.PSBI,Other Operating,8716,Zili Zhu,R-12324,Ruralco/Wex Water - options instruments,,,,,,,,,,,472,-472,
OPERATING.PSBI,Other Operating,8716,Zili Zhu,R-12579,Monash Master of Financial Maths Interns,,"7,057",103,"6,954",,"21,000",103,"20,897",,"42,000","19,447","22,553",
OPERATING.PSBI,Other Operating,8716,Zili Zhu,R-13848,Initiative: Risklab,289,"3,361",578,"2,783",,"10,000",578,"9,423",,"10,000",578,"9,423",
OPERATING.PSBI,Other Operating,10873,Kimberley Clayfield,R-13297,SpaceFSP1 HSI Data Analytics D61,21,,21,-21,,,21,-21,,,21,-21,
OPERATING.PSBI,Other Operating,12951,Lachlan Hetherton,R-12754,Boeing: Workspace Live Metrology 2019 P1,,,216,-216,,,216,-216,,"10,000","8,662","1,338",
OPERATING.PSBI,Other Operating,12951,Lachlan Hetherton,R-12782,Factory Flow Optimisation - Phase 5,,,,,,,,,,"15,000","51,244","-36,244",
OPERATING.PSBI,Other Operating,12951,Lachlan Hetherton,R-13761,Boeing: Workspace Live Metrology 2019 P2,617,"7,353","3,631","3,722",,"11,000","3,675","7,325",,"11,000","3,675","7,325",
OPERATING.PSBI,Other Operating,12951,Lachlan Hetherton,R-13847,Initiative: Industrial Tfm,"2,163","6,049","9,791","-3,742",,"18,000","9,791","8,209",,"18,000","9,791","8,209",
OPERATING.PSBI,Other Operating,15781,Simon Harrison,R-13851,Initiative: Digital Human,360,"2,689",450,"2,239",,"8,000",450,"7,550",,"8,000",450,"7,550",
OPERATING.PSBI,Other Operating,17118,Klara Verbyla,R-90435,Biological Data Science Group - Operatin,114,,"3,275","-3,275",,,"3,275","-3,275",,"25,000","50,902","-25,902",0.00
OPERATING.PSBI,Other Operating,17928,Melanie Ayre,R-91275,Group - Optimisation & Financial Risk An,"6,320","30,246","5,095","25,151",,"90,000","11,118","78,882",,"90,000","11,118","78,882",
OPERATING.PSBI,Other Operating,24939,Richard Nock,R-11055,On-Board health Monitoring,494,,792,-792,,,792,-792,,,"42,418","-42,418",
OPERATING.PSBI,Other Operating,24939,Richard Nock,R-90432,Machine Learning Group Operating Cost,"1,084",,"7,673","-7,673",,,"7,673","-7,673",,"15,420","92,032","-76,612",
OPERATING.PSBI,Other Operating,25065,Chen Cai,R-08830,6203000 - Advanced Data Analytics in Tra,"32,961",,"32,961","-32,961",,,"32,961","-32,961",,"45,000","38,273","6,727",
OPERATING.PSBI,Other Operating,25065,Chen Cai,R-09084,Critical water mains failure prediction,,,,,,,,,,,464,-464,
OPERATING.PSBI,Other Operating,25065,Chen Cai,R-11685,Industry PhD - Bo Wang,,"4,705",,"4,705",,"14,000",,"14,000",,"56,000","28,500","27,500",
OPERATING.PSBI,Other Operating,25065,Chen Cai,R-13223,DVR Prof Yulin Jiang,,,,,,,,,,,"1,238","-1,238",
OPERATING.PSBI,Other Operating,25065,Chen Cai,R-13857,Initiative: Transport and Logistics,"8,089","4,705","8,089","-3,384",,"14,000","8,089","5,911",,"14,000","8,089","5,911",
OPERATING.PSBI,Other Operating,25065,Chen Cai,R-90433,Transport Analytics - Operating Costs,,"28,230","20,730","7,499",,"84,000","20,730","63,270",,"84,500","348,561","-264,061",0.00
OPERATING.PSBI,Other Operating,#,Not assigned,R-10231,In-Kind AIM FSP_TB10_WP01: Virtual AM,,,,,,,,,,,144,-144,
OPERATING.PSBI,Other Operating,#,Not assigned,R-10692,On Farm Expt Digiscape FSP In-kind Data6,,,,,,,,,,,818,-818,
OPERATING.PSBI,Other Operating,#,Not assigned,R-10819,Jobs Explorer,,,124,-124,,,124,-124,,1,733,-732,
OPERATING.PSBI,Other Operating,#,Not assigned,R-11479,Julius Award - Delaney,,"1,680",,"1,680",,"5,000",,"5,000",,"14,985","4,631","10,354",
OPERATING.PSBI,Other Operating,#,Not assigned,R-11758,Pr 18-07 SPA: Predictive Analytics for R,,,,,,,,,,"50,000","8,697","41,303",
OPERATING.PSBI,Other Operating,#,Not assigned,R-12521,ESA Business as Usual and Enhancements,,,,,,,,,,,31,-31,
OPERATING.PSBI,Other Operating,#,Not assigned,R-12643,Robust Learning for Decision Making,,,805,-805,,,805,-805,,,"52,885","-52,885",
OPERATING.PSBI,Other Operating,#,Not assigned,R-13030,Your Data Your Regions 2,,,,,,,,,,,43,-43,
OPERATING.PSBI,Other Operating,#,Not assigned,R-13036,Monash - IITB Students,,"14,403",,"14,403",,"42,858",,"42,858",,"150,000","64,286","85,714",
OPERATING.PSBI,Other Operating,#,Not assigned,R-13293,Workflow Optimisation,,,,,,,,,,,109,-109,
OPERATING.PSBI,Other Operating,#,Not assigned,R-13927,An improved dry eucalypt forest fire spr,18,,156,-156,,,156,-156,,,156,-156,
OPERATING.PSBI,Other Operating,#,Not assigned,R-13941,DoEE PDF-Knowledge Graph Processing,,"3,231",,"3,231",,"10,000",,"10,000",,"10,000",,"10,000",
OPERATING.PSBI,Other Operating,#,Not assigned,R-14063,Student Agreement - Post Grad,,"15,963","3,500","12,463",,"47,500","3,500","44,000",,"125,500","3,500","122,000",
OPERATING.PSBI,Other Operating,#,Not assigned,R-14072,Social Watch 2.0 Phase 2,,"5,041",,"5,041",,"15,000",,"15,000",,"15,000",,"15,000",
OPERATING.PSBI,Other Operating,#,Not assigned,R-14173,CRP- Analytics & Decsion Sciences,,"2,256",,"2,256",,"6,712",,"6,712",,"14,109",,"14,109",
OPERATING.PSBI,Other Operating,#,Not assigned,R-14261,PBSP Schedule 9 - Data Transition Part B,,40,,40,,500,,500,,500,,500,
OPERATING.PSBI,Other Operating,#,Not assigned,R-14309,Study to machine learning methods to tra,,,,,,"-40,500",,"-40,500",,"-40,500",,"-40,500",
OPERATING.PSBI,Other Operating,#,Not assigned,R-14320,Sydney Harbour Bridge R&D Retainer Nov-D,,,,,,"5,200",,"5,200",,"5,200",,"5,200",
OPERATING.PSBI,Other Operating,#,Not assigned,R-90148,Analytics Program - Travel and Operating,"2,289",,"2,703","-2,703",,,"2,703","-2,703",,"254,228","65,997","188,231",0.00
OPERATING.PSBI,Other Operating,#,Not assigned,R-90149,Analytics Program - Small Consultancies,,,,,,,,,,"37,350","2,816","34,534",
OPERATING.PSBI,Other Operating,#,Not assigned,R-90150,Analytics Program R02P05 - IP Costs,,,,,,,,,,,263,-263,
OPERATING.PSBI,Other Operating,#,Not assigned,R-90152,"Analytics - Visitor, Stud, Fellow, Inter",,,,,,,,,,"209,711","123,709","86,002",0.00
OPERATING.PSBI,Other Operating,#,Not assigned,R-90546,CRP- Analytics,3,,48,-48,365.00,,48,-48,365.00,"158,875","60,548","98,327","15,365.00"
OPERATING.PSBI,Other Operating,#,Not assigned,R-90589,DS - CRP,,"92,120",,"92,120","26,500.00","205,123",,"205,123","129,666.00","801,197","354,391","446,807","168,000.00"
OPERATING.PSBI,Other Operating,#,Not assigned,R-90676,Analytics Program - Awards & Grants,,,,,,,,,,,"2,951","-2,951",
REPSEG8100.PS,Overhead,1343,Paul Cleary,R-10898,Millsim Maintenance and Support 2017/201,"2,096","8,314","8,314",0,,"24,740","8,314","16,426",,"82,095","65,669","16,426",
REPSEG8100.PS,Overhead,1343,Paul Cleary,R-11187,NSSMC Spray Cooling Stage 3B,,"9,036","9,036",0,,"9,036","9,036",0,,"24,342","24,342",-0,
REPSEG8100.PS,Overhead,1343,Paul Cleary,R-11440,Millsim extension,,,,,,,,,,"38,813","38,813",0,
REPSEG8100.PS,Overhead,1343,Paul Cleary,R-12652,Seed termination: stage 1,,,,,,,,,,"50,357","50,357",0,
REPSEG8100.PS,Overhead,1343,Paul Cleary,R-13387,DEM simulation of a 36’ SAG mill,582,"2,719","2,719",0,,"2,719","2,719",0,,"8,701","8,701",0,
REPSEG8100.PS,Overhead,1872,Gary Delaney,R-91283,Group - Computational Modelling,"8,540","33,885","33,885",0,,"100,832","33,885","66,947",,"100,832","33,885","66,947",
REPSEG8100.PS,Overhead,3306,Brent Henderson,R-11610,SAGI-North Project,"1,954","7,752","7,752",0,,"23,066","7,752","15,315",,"78,835","39,717","39,118",
REPSEG8100.PS,Overhead,3306,Brent Henderson,R-12581,Deep Earth Imaging Post-doc Supervision,"2,298","9,117","9,117",0,,"27,130","9,117","18,013",,"100,955","40,379","60,577",
REPSEG8100.PS,Overhead,3306,Brent Henderson,R-12646,LineSight ongoing development,,,,,,,,,,"56,330","56,330",0,
REPSEG8100.PS,Overhead,3306,Brent Henderson,R-12962,Armadillo development + engagement,"1,014","4,023","4,023",0,,"11,970","4,023","7,948",,"25,715","17,768","7,948",
REPSEG8100.PS,Overhead,3306,Brent Henderson,R-13504,Improving process efficiency and certain,"5,358","21,262","21,262",0,,"49,958","21,262","28,696",,"51,729","23,033","28,696",
REPSEG8100.PS,Overhead,3306,Brent Henderson,R-13720,PFOD-OzCrop,"14,755","58,545","58,545",-0,,"174,209","58,545","115,665",,"174,209","58,545","115,665",
REPSEG8100.PS,Overhead,3306,Brent Henderson,R-90434,AgriEnv Informatic Group Operating Cost,"11,923","47,308","47,308",0,,"140,776","47,308","93,468",,"140,776","47,308","93,468",
REPSEG8100.PS,Overhead,4203,Petra Kuhnert,R-09498,Uncertainty Digiscape In-kind Data61,"2,275","9,026","9,026",0,,"26,858","9,026","17,832",,"147,976","130,144","17,832",
REPSEG8100.PS,Overhead,5858,Cecile Paris,R-91279,Group - Knowledge Discovery & Management,"9,789","38,841","38,841",0,,"115,579","38,841","76,738",,"115,579","38,841","76,738",
REPSEG8100.PS,Overhead,6203,Mahesh Prakash,R-10890,Dust monitoring data analysis,,,,,,,,,,"58,438","58,438",0,
REPSEG8100.PS,Overhead,6203,Mahesh Prakash,R-11079,Bushfire Case Study Guide,"1,545","6,128","6,128",0,,"18,236","6,128","12,108",,"59,793","47,686","12,108",
REPSEG8100.PS,Overhead,6203,Mahesh Prakash,R-11894,Spotfire Coalescence II: Extension,"8,901","35,317","35,317",0,,"105,089","35,317","69,773",,"329,634","178,524","151,110",
REPSEG8100.PS,Overhead,6203,Mahesh Prakash,R-11916,Transferable Integrated tools for the cl,"2,962","11,751","11,751",0,,"34,964","11,751","23,213",,"134,305","111,092","23,213",
REPSEG8100.PS,Overhead,6203,Mahesh Prakash,R-11948,Resource Deployment and Optimisation in,"2,275","19,306","19,306",-0,,"52,898","19,306","33,592",,"137,762","104,170","33,592",
REPSEG8100.PS,Overhead,6203,Mahesh Prakash,R-12875,Cropland fire behaviour research,,"14,658","14,658",0,,"14,658","14,658",0,,"110,476","110,476",0,
REPSEG8100.PS,Overhead,6203,Mahesh Prakash,R-13474,Effectiveness of fire suppression resour,"10,977","43,554","43,554",-0,,"129,601","43,554","86,047",,"229,579","46,807","182,771",
REPSEG8100.PS,Overhead,6203,Mahesh Prakash,R-13495,Modelling the  FOREMS wildfire suppressi,"5,268","20,905","20,905",-0,,"26,344","20,905","5,439",,"43,136","37,697","5,439",
REPSEG8100.PS,Overhead,6203,Mahesh Prakash,R-13596,Pr19-10: INSW Gen 2.0 Phase 3,"7,154","28,386","28,386",-0,,"35,311","28,386","6,925",,"35,311","28,386","6,925",
REPSEG8100.PS,Overhead,6203,Mahesh Prakash,R-13694,Bushfire Evacuation Modelling Phase 2,"15,243","65,951","65,951",0,,"167,871","65,951","101,920",,"239,150","137,229","101,920",
REPSEG8100.PS,Overhead,6203,Mahesh Prakash,R-14234,Visualising the Impact of Mining Project,"2,536","1,608","2,536",-928,,"33,608","2,536","31,072",,"33,608","2,536","31,072",
REPSEG8100.PS,Overhead,6203,Mahesh Prakash,R-91277,Group - Natural Systems Modelling,"9,519","37,769","37,769",0,,"112,389","37,769","74,620",,"112,389","37,769","74,620",
REPSEG8100.PS,Overhead,7702,Peter Toscas,R-91112,Data-Driven Enterprises Group - Operatin,"4,596","18,235","18,235",0,,"54,260","18,235","36,025",,"54,260","18,235","36,025",
REPSEG8100.PS,Overhead,8008,Gavin Walker,R-10441,Research Office Post doc Social Media (S,"12,432","49,328","49,328",0,,"146,782","49,328","97,454",,"495,654","398,200","97,454",
REPSEG8100.PS,Overhead,8008,Gavin Walker,R-11577,Digital Lease - SIEF STEM Project,"9,477","37,600","37,600",0,,"64,817","37,600","27,217",,"226,430","199,214","27,217",
REPSEG8100.PS,Overhead,8008,Gavin Walker,R-12271,PH FSP Medical Decision Support - DATA61,"5,959","23,644","23,644",-0,,"70,355","23,644","46,712",,"110,454","63,742","46,712",
REPSEG8100.PS,Overhead,8008,Gavin Walker,R-12622,LASC Client-informed SocMedAnalysis Plat,,,,,,,,,,"124,917","124,917",0,
REPSEG8100.PS,Overhead,8008,Gavin Walker,R-12648,SLNSW: Multilingual NLP,26,"2,431","2,431",0,,"2,431","2,431",0,,"43,589","43,589",0,
REPSEG8100.PS,Overhead,8008,Gavin Walker,R-12793,Research Office Post doc Social Media (S,"11,262","44,687","44,687",0,,"132,971","44,687","88,284",,"384,418","158,906","225,512",
REPSEG8100.PS,Overhead,8008,Gavin Walker,R-12815,NDIS workforce needs,"3,651","16,881","16,881",0,,"45,501","16,881","28,621",,"154,552","86,701","67,851",
REPSEG8100.PS,Overhead,8008,Gavin Walker,R-12870,Pr19-3: Research Services Water Grant,"10,415","41,323","41,323",0,,"92,389","41,323","51,066",,"99,850","48,783","51,066",
REPSEG8100.PS,Overhead,8008,Gavin Walker,R-13814,Initiative: Social Insights and Market D,"3,447","13,676","13,676",0,,"40,695","13,676","27,019",,"40,695","13,676","27,019",
REPSEG8100.PS,Overhead,8008,Gavin Walker,R-13939,Emergency Management: Tech surprise pape,,"5,782","5,782",0,,"5,782","5,782",0,,"5,782","5,782",0,
REPSEG8100.PS,Overhead,8008,Gavin Walker,R-14215,QLD Big Data Challenge: Detecting Cyberb,"16,806","16,806","16,806",0,,"97,401","16,806","80,595",,"97,401","16,806","80,595",
REPSEG8100.PS,Overhead,8716,Zili Zhu,R-03815,Fenics,"45,302","120,684","120,684",0,,"334,540","120,684","213,856",,"946,155","732,298","213,856",
REPSEG8100.PS,Overhead,8716,Zili Zhu,R-09886,ARC Linkage with Monash and Challenger B,685,"2,716","2,716",0,,"4,770","2,716","2,054",,"142,668","140,614","2,054",
REPSEG8100.PS,Overhead,8716,Zili Zhu,R-12324,Ruralco/Wex Water - options instruments,,,,,,,,,,"53,104","53,104",0,
REPSEG8100.PS,Overhead,8716,Zili Zhu,R-12579,Monash Master of Financial Maths Interns,"6,676","26,486","26,486",0,,"78,812","26,486","52,325",,"245,886","112,224","133,662",
REPSEG8100.PS,Overhead,10873,Kimberley Clayfield,R-13229,SpaceFSP1 Bloom Prediction D61,,,,,,,,,,"2,061","2,061",0,
REPSEG8100.PS,Overhead,10873,Kimberley Clayfield,R-13297,SpaceFSP1 HSI Data Analytics D61,,,,,,,,,,"2,544","2,544",0,
REPSEG8100.PS,Overhead,10873,Kimberley Clayfield,R-13683,SpaceFSP2-08 OffEarth Resource Analytics,,,"24,325","-24,325",,,"24,325","-24,325",,,"24,325","-24,325",
REPSEG8100.PS,Overhead,10873,Kimberley Clayfield,R-13843,SpaceFSP2-07 HSI Data Analytics D61,"5,349","21,225","21,225",0,,"63,158","21,225","41,933",,"133,372","21,225","112,147",
REPSEG8100.PS,Overhead,12951,Lachlan Hetherton,R-10504,Apollo Campervans - DVASS,"3,848","15,265","15,265",0,,"41,948","15,265","26,683",,"174,941","148,259","26,683",
REPSEG8100.PS,Overhead,12951,Lachlan Hetherton,R-12754,Boeing: Workspace Live Metrology 2019 P1,,"6,104","4,114","1,990",,"6,104","4,114","1,990",,"298,246","296,255","1,991",
REPSEG8100.PS,Overhead,12951,Lachlan Hetherton,R-12782,Factory Flow Optimisation - Phase 5,"17,715","70,287","70,287",0,,"70,287","70,287",0,,"181,825","181,825",0,
REPSEG8100.PS,Overhead,12951,Lachlan Hetherton,R-13576,Pr19-2 NSW SP: Forecasting school infras,,,,,,,,,,"107,497","107,497",0,
REPSEG8100.PS,Overhead,12951,Lachlan Hetherton,R-13761,Boeing: Workspace Live Metrology 2019 P2,"46,933","171,640","171,640",0,,"263,995","171,640","92,356",,"263,995","171,640","92,356",
REPSEG8100.PS,Overhead,17118,Klara Verbyla,R-90435,Biological Data Science Group - Operatin,"10,838","43,003","43,003",0,,"127,963","43,003","84,960",,"127,963","43,003","84,960",
REPSEG8100.PS,Overhead,17928,Melanie Ayre,R-91275,Group - Optimisation & Financial Risk An,"6,242","24,768","24,768",0,,"73,702","24,768","48,934",,"73,702","24,768","48,934",
REPSEG8100.PS,Overhead,24939,Richard Nock,R-11055,On-Board health Monitoring,"14,533","57,664","57,664",0,,"71,728","57,664","14,064",,"416,356","402,291","14,064",
REPSEG8100.PS,Overhead,24939,Richard Nock,R-90432,Machine Learning Group Operating Cost,"12,771","50,675","50,675",0,,"150,792","50,675","100,118",,"150,792","50,675","100,118",
REPSEG8100.PS,Overhead,25065,Chen Cai,R-08830,6203000 - Advanced Data Analytics in Tra,,"28,850","28,850",0,,"28,850","28,850",0,,"2,936,199","2,936,199",-0,
REPSEG8100.PS,Overhead,25065,Chen Cai,R-09084,Critical water mains failure prediction,"5,770","22,895","22,895",0,,"40,019","22,895","17,124",,"138,144","121,020","17,125",
REPSEG8100.PS,Overhead,25065,Chen Cai,R-10940,TfNSW On Demand Transport,"2,186","8,672","8,672",0,,"10,788","8,672","2,116",,"81,801","79,686","2,116",
REPSEG8100.PS,Overhead,25065,Chen Cai,R-11084,Predictive Analytics for Acer,,,,,,,,,,"89,858","89,858",0,
REPSEG8100.PS,Overhead,25065,Chen Cai,R-11104,Corrosion analytics,,,,,,,,,,"97,811","97,811",-0,
REPSEG8100.PS,Overhead,25065,Chen Cai,R-11685,Industry PhD - Bo Wang,838,"3,323","3,323",0,,"9,887","3,323","6,564",,"43,446","18,789","24,657",
REPSEG8100.PS,Overhead,25065,Chen Cai,R-90433,Transport Analytics - Operating Costs,"10,568","41,931","41,931",0,,"124,773","41,931","82,842",,"124,773","41,931","82,842",
REPSEG8100.PS,Overhead,#,Not assigned,R-09316,RESEARCH - Biological Data Science,,,,,,,,,,"1,347","1,347",0,
REPSEG8100.PS,Overhead,#,Not assigned,R-09657,Social media analytics with Signal,"24,971","37,054","37,054",0,,"37,054","37,054",0,,"117,251","117,251",0,
REPSEG8100.PS,Overhead,#,Not assigned,R-09724,Carbon Digiscape FSP (Data61),"3,121","12,384","12,384",0,,"36,851","12,384","24,467",,"186,427","133,963","52,464",
REPSEG8100.PS,Overhead,#,Not assigned,R-10149,In-Kind AIM FSP_TB02_WP02: Integration o,,,,,,,,,,"81,782","81,782",0,
REPSEG8100.PS,Overhead,#,Not assigned,R-10231,In-Kind AIM FSP_TB10_WP01: Virtual AM,"3,630","14,405","14,405",0,,"42,864","14,405","28,459",,"147,348","118,890","28,459",
REPSEG8100.PS,Overhead,#,Not assigned,R-10243,In-Kind AIM FSP_TB04_WP05: Evolving one-,"8,978","35,624","35,624",0,,"106,004","35,624","70,380",,"271,230","200,850","70,380",
REPSEG8100.PS,Overhead,#,Not assigned,R-10246,In-kind AIM FSP_TB04_WP20: Designing Jam,"5,108","20,268","20,268",0,,"60,310","20,268","40,042",,"178,587","138,545","40,042",
REPSEG8100.PS,Overhead,#,Not assigned,R-10623,Collections Genomics Environomics FSP -,,,,,,,,,,"67,092","67,092",0,
REPSEG8100.PS,Overhead,#,Not assigned,R-10642,Soil Inverse Digiscape FSP In-kind Data6,"4,117","16,334","16,334",0,,"48,605","16,334","32,271",,"213,804","181,534","32,271",
REPSEG8100.PS,Overhead,#,Not assigned,R-10692,On Farm Expt Digiscape FSP In-kind Data6,"9,677","38,398","38,398",-0,,"114,258","38,398","75,860",,"251,068","130,584","120,484",
REPSEG8100.PS,Overhead,#,Not assigned,R-11570,Bioinformatics Environomics FSP (IN KIND,"13,788","54,705","54,705",0,,"162,783","54,705","108,077",,"534,692","426,614","108,077",
REPSEG8100.PS,Overhead,#,Not assigned,R-11754,Automated parking regulation solution,,,,,,,,,,"57,520","57,520",-0,
REPSEG8100.PS,Overhead,#,Not assigned,R-11758,Pr 18-07 SPA: Predictive Analytics for R,,,,,,,,,,"134,982","134,982",0,
REPSEG8100.PS,Overhead,#,Not assigned,R-11983,SCF Downscaling Digiscape FSP (Data61),"8,083","32,074","32,074",0,,"95,441","32,074","63,367",,"292,635","128,788","163,847",
REPSEG8100.PS,Overhead,#,Not assigned,R-12177,Analytics on Inactives,,,,,,,,,,"99,298","99,298",-0,
REPSEG8100.PS,Overhead,#,Not assigned,R-12296,IN KIND Tara Richman UWA Fellowship,"2,298","9,117","9,117",0,,"27,130","9,117","18,013",,"86,384","40,374","46,010",
REPSEG8100.PS,Overhead,#,Not assigned,R-12418,Happy Oyster - Challenge Project,,,,,,,,,,"72,980","72,980",0,
REPSEG8100.PS,Overhead,#,Not assigned,R-12496,Consumer trust of food quality - from me,,,,,,,,,,"43,249","43,249",0,
REPSEG8100.PS,Overhead,#,Not assigned,R-12521,ESA Business as Usual and Enhancements,"2,450","9,720","9,720",0,,"28,924","9,720","19,204",,"72,465","53,261","19,204",
REPSEG8100.PS,Overhead,#,Not assigned,R-12560,V/Line Performance MVP,,,,,,,,,,"111,553","111,553",0,
REPSEG8100.PS,Overhead,#,Not assigned,R-12643,Robust Learning for Decision Making,"22,228","88,196","88,196",0,,"214,102","88,196","125,907",,"435,536","196,409","239,127",
REPSEG8100.PS,Overhead,#,Not assigned,R-12899,Review of NAMP 2018,,,,,,,,,,"9,377","9,377",0,
REPSEG8100.PS,Overhead,#,Not assigned,R-13030,Your Data Your Regions 2,"2,946","11,690","11,690",0,,"17,488","11,690","5,798",,"47,294","41,496","5,798",
REPSEG8100.PS,Overhead,#,Not assigned,R-13293,Workflow Optimisation,"3,596","14,269","14,269",0,,"21,346","14,269","7,077",,"34,080","27,003","7,077",
REPSEG8100.PS,Overhead,#,Not assigned,R-13460,CRP - MLAI FSP Trustworth Learning from,"2,298","9,117","9,117",0,,"27,130","9,117","18,013",,"92,025","19,432","72,592",
REPSEG8100.PS,Overhead,#,Not assigned,R-13598,Towards noninvasive diagnosis of malaria,"1,221","4,846","4,846",0,,"18,232","4,846","13,386",,"42,841","9,999","32,842",
REPSEG8100.PS,Overhead,#,Not assigned,R-13666,Risk Modelling Methodologies for NESA,,"28,489","28,489",0,,"28,489","28,489",0,,"37,799","37,799",0,
REPSEG8100.PS,Overhead,#,Not assigned,R-13854,Spark licensing,567,"2,249","2,249",-0,,"5,594","2,249","3,346",,"5,594","2,249","3,346",
REPSEG8100.PS,Overhead,#,Not assigned,R-13879,In-kind AIM FSP_TB02_WP06: Computational,"9,237","25,967","25,967",0,,"98,372","25,967","72,405",,"304,652","25,967","278,685",
REPSEG8100.PS,Overhead,#,Not assigned,R-13927,An improved dry eucalypt forest fire spr,"7,504","22,270","22,270",0,,"81,093","22,270","58,822",,"146,587","22,270","124,317",
REPSEG8100.PS,Overhead,#,Not assigned,R-13941,DoEE PDF-Knowledge Graph Processing,"10,804","40,745","40,428",316,,"126,098","40,428","85,670",,"126,098","40,428","85,670",
REPSEG8100.PS,Overhead,#,Not assigned,R-13968,New comminution device (MSI) stages 1 an,"8,397","21,942","21,942",0,,"38,466","21,942","16,524",,"38,466","21,942","16,524",
REPSEG8100.PS,Overhead,#,Not assigned,R-13973,R and Data mining course,,"13,566","13,566",-0,,"13,566","13,566",-0,,"13,566","13,566",-0,
REPSEG8100.PS,Overhead,#,Not assigned,R-14072,Social Watch 2.0 Phase 2,"35,818","89,025","89,025",0,,"214,348","89,025","125,323",,"214,348","89,025","125,323",
REPSEG8100.PS,Overhead,#,Not assigned,R-14173,CRP- Analytics & Decsion Sciences,"5,420","5,420","5,420",0,,"16,127","5,420","10,708",,"32,774","5,420","27,354",
REPSEG8100.PS,Overhead,#,Not assigned,R-14261,PBSP Schedule 9 - Data Transition Part B,"1,088","1,088","1,088",0,,"13,605","1,088","12,518",,"13,605","1,088","12,518",
REPSEG8100.PS,Overhead,#,Not assigned,R-14309,Study to machine learning methods to tra,,,,,,"33,505",,"33,505",,"33,505",,"33,505",
